term,var,header
prescno,No antibiotic,
prescno:femaleyes,No antibiotic x female,
prescno:age,No antibiotic x age,
femaleyes,Female,
age,Age (cont.),
imdQ1,Q1,IMD
imdQ2,Q2,IMD
imdQ3,Q3,IMD
imdQ4,Q4,IMD
imdQ5,Q5,IMD
regionSouth of England,South of England,Region
regionLondon,London,Region
regionMidlands and east of England,Midlands and east of England,Region
regionNorth of England and Yorkshire,North of England and Yorkshire,Region
year2007,2007,Financial year
year2008,2008,Financial year
year2009,2009,Financial year
year2010,2010,Financial year
year2011,2011,Financial year
year2012,2012,Financial year
year2013,2013,Financial year
year2014,2014,Financial year
cci_sqrt,CCI (cont.),
smokenon,non,Smoking status
smokeex,ex,Smoking status
smokesmoke,smoke,Smoking status
recur,Recurrent UTI,
hosp_7yes,IP prior 7 days,Inpatient admissions
hosp_30yes,IP prior 30 days,Inpatient admissions
hosp_nights_sqrt,IP nights last year,Inpatient admissions
hosp_n_sqrt,IPs last year,Inpatient admissions
ae_30yes,A&E prior 30 days,Accident & Emergency
ae_n_sqrt,A&Es last year,Accident & Emergency
abx_30yes,Antibiotics in prior 30 days,
homeyes,Index event was home visit,
